,MCVA,MCVA_x,MCVA_y,GC,GC_x,GC_y,TS,x,y,LE,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
31,0.8617,0.8649,0.8585,0.0213,0.0209,0.023,0.9381,4567.6323,7626.6113,6.1981,6,0.07881509982708192,192,8.0,0.581232486195678,0.6629923967109987,0.5907975518234497,0.4613106098773987
32,0.8677,0.8642,0.8712,0.0203,0.0229,0.0191,0.9374,4566.9854,7625.6304,5.0381,5,0.08545898686559447,195,4.0,0.7191282205890758,0.8492063001113377,2.5773901595277495,0.2076540607587224
33,0.8689,0.8753,0.8625,0.0199,0.0193,0.022,0.9368,4568.608,7628.38,8.2146,6,0.13117782986589885,287,9.0,0.7318987097451197,0.7879306482582045,2.299678538840813,0.7238491310795807
34,0.8687,0.8632,0.8742,0.0202,0.022,0.0188,0.9353,4567.995,7625.0767,5.0586,8,0.09539193487090442,285,4.0,0.6837453882184903,0.7053357116127926,3.3770189071557897,0.026253046406388897
35,0.869,0.877,0.861,0.0199,0.0176,0.0232,0.9302,4566.475,7626.782,5.9674,7,0.12566683812440896,256,3.0,0.6110618948272335,0.9721929273500284,2.6158121863638555,0.9264055862757286
36,0.8666,0.8584,0.8747,0.0207,0.0246,0.0182,0.9277,4567.4346,7625.0186,4.6985,8,0.11618850288169826,169,3.0,0.5809063111006588,0.8010633324220486,2.4310944163164043,0.3413397626707
37,0.8676,0.8627,0.8724,0.0219,0.0257,0.0192,0.9315,4568.279,7626.019,5.9951,3,0.1794714135356246,299,6.0,0.8439337061063176,0.8030081043018236,4.108978029951172,0.811493498956118
38,0.8641,0.8641,0.8641,0.021,0.0232,0.0212,0.9356,4568.5586,7625.508,5.7432,7,0.1133390033308839,120,7.0,0.583831188425311,0.9141858253976299,2.650490832883223,0.2487536759609962
39,0.8644,0.8681,0.8608,0.0218,0.0213,0.023,0.9318,4567.6777,7626.772,6.3629,5,0.15879643418631814,193,4.0,0.8088872801274314,0.8198993918314526,4.192524382466109,0.06923160166142595
40,0.8698,0.8666,0.8731,0.0202,0.022,0.0195,0.9384,4567.96,7625.103,5.0593,5,0.05764963293305696,273,6.0,0.6511214581888642,0.9529482396074467,0.6086686912608072,0.34319332287057003
41,0.8651,0.8632,0.867,0.0221,0.0233,0.0211,0.929,4567.4155,7625.851,5.4192,8,0.09540811853521927,205,3.0,0.7387172451127177,0.9981930553952909,4.886407170011314,0.6077688424951502
42,0.8684,0.8618,0.875,0.0204,0.0227,0.0186,0.9412,4567.578,7624.8022,4.5939,7,0.07782111191473567,196,3.0,0.6732618695983178,0.7911091621215424,1.6082626396599293,0.18300535090629738
43,0.8692,0.8695,0.8688,0.0198,0.0202,0.0201,0.9365,4566.9067,7626.132,5.4746,6,0.07322712125780975,275,5.0,0.6342471321130518,0.9952723153492052,1.7680498597028675,0.6220438934848198
44,0.8643,0.8644,0.8642,0.0214,0.0226,0.0215,0.9319,4567.5093,7626.282,5.8479,4,0.12692885337138995,210,7.0,0.7773433069892342,0.9791199880316128,0.8404374536063791,0.8603344068003116
45,0.8728,0.8664,0.8791,0.0205,0.0228,0.0185,0.9377,4565.4023,7622.92,1.9616,3,0.1176436680452348,276,2.0,0.8402949876283493,0.9045254815549747,3.116858659910187,0.1835441282216735
46,0.8638,0.8647,0.8629,0.0203,0.0206,0.0205,0.9175,4568.8804,7626.716,6.9085,8,0.2058971229676041,121,8.0,0.6810202165511258,0.795364932430828,1.7336087186303955,0.14071584961010483
47,0.8617,0.8696,0.8539,0.0213,0.0194,0.0244,0.9352,4567.9707,7626.917,6.6209,8,0.1265989548543952,272,10.0,0.6887233668125988,0.8776453721810239,3.5409409403353056,0.651660644349992
48,0.869,0.8667,0.8714,0.0197,0.0218,0.0191,0.9396,4567.953,7626.029,5.8318,7,0.1223391246681248,128,9.0,0.7026895444753856,0.8569701372225706,4.872225719989659,0.08614818744808694
49,0.8661,0.8662,0.866,0.0208,0.0216,0.0215,0.9358,4567.7812,7626.519,6.1802,7,0.05038378373886154,223,8.0,0.6959325681305055,0.8233774644194325,2.5420720145316964,0.22908870784418167
