release_num,wave_rate1,aver1,median1,fft_shape_mean1,fft_mean1,SamEn1,wave_rate2,aver2,median2,fft_shape_mean2,fft_mean2,SamEn2,wave_rate3,aver3,median3,fft_shape_mean3,fft_mean3,SamEn3,wave_rate4,aver4,median4,fft_shape_mean4,fft_mean4,SamEn4,x,y
1,0.7162210693650812,2.1089740309389917,2.0808692487912044,5.89622948374693,3.1424657294530185,0.6666672573954777,0.7409276153362345,2.1173833999504867,2.1092710552125915,4.8248830470474875,2.9193707100977018,0.5462798541237949,0.49827205255548945,1.804294008898879,1.8761421305137247,5.680578746244616,3.1043310255256533,0.4028160999365873,0.5830246284784434,1.207784930773049,1.1271291851141498,4.544646230437778,1.6588146492374367,0.38484582090542885,4565,7621
2,0.3720510153959287,2.351506181071174,2.3157737795631377,6.4922049635331005,1.5702777581507708,0.4539594580467752,0.714947262403118,2.105024308356246,1.993091466290972,5.419712909220053,1.5444635206798132,0.5618807945662748,0.661700147894846,2.424559211054274,2.4214618265356966,5.374007293740086,2.2446815023796547,0.5199483057619927,0.5962142986853423,2.0485959969572893,2.2463784593587577,5.804878470841799,3.200563535011868,0.8837317626333053,4551,7615
3,0.7449534978979631,0.8997323106957452,0.9617253614296492,5.900487003643655,1.2833032321550952,0.7368222440626063,0.697221484898713,1.2982029332019318,1.1987552966151347,5.382286557832783,2.5339156946089156,0.5749792186121928,0.6721464626518778,0.6754560591569356,0.6553324251943438,4.734140530114368,1.1310011706212915,0.6634909709770571,0.7464112858121482,0.2420599338474909,0.1794416771131617,5.135482514480169,1.0155653840814285,0.35908168396929735,4574,7621
4,0.6391817098161798,1.4584348851113142,1.4315556985275066,6.201137326376698,2.759201720477716,0.8062507504943698,0.608863348967646,1.7327669932843082,1.5936078749880305,4.905387256545085,3.3804826664782177,0.31504356046291854,0.5857125256093113,1.1381485607516477,1.2079785741667355,5.4378472000304185,1.8920646086755994,0.5979857992083911,0.8343185159865728,0.66127497971784,0.6365744992419994,5.7123342802817305,1.5430667486236616,0.8863539780335704,4567,7619
5,0.5376434984591085,0.7675222911674382,0.6795106789501153,6.063495054077149,1.5487971514068941,0.6420287266309219,0.5999269934108433,0.8585224626803839,0.8305141986054897,4.806867492480599,2.1037161441367704,0.5999910134355286,0.6437936324251998,0.5300344444635299,0.4984033004076902,5.971312982902976,1.0520906422094927,0.5988365010887039,0.5564917524986948,0.40219137422549844,0.3954335427382202,5.859472996609532,0.8371462894975411,0.7442023513602293,4558,7601
6,0.6518672934439336,1.002569493276633,0.9305656596047241,4.805763076868384,1.7467198355172164,0.4878469981348732,0.6069301079220036,1.5280925405557555,1.5703711772199311,5.274352716358952,3.154251577870783,0.6190392084062231,0.7926435848916749,0.8488635608221264,0.8632806189058403,4.642651818651432,1.1472202685662476,0.7394028906560981,0.6383463297502499,0.3503076261701617,0.36646398186941564,5.770655692473927,0.9410913607751,0.6405454136271871,4573,7622
7,0.5935512866260548,0.6722601920603116,0.735403424737877,5.436211861776143,1.441130157300399,0.8720357228701143,0.5968928719388318,0.8906845943254026,0.7355320704433005,5.671785174882143,2.28575842597304,0.7009563308741099,0.7213882534627928,0.5144247531528239,0.474439156603412,5.846217085435358,1.4112426925266779,0.5790338737925239,0.5383077222836827,0.3568523109760507,0.37600736323792416,5.608703215771006,0.6029126969685922,0.6083439192894752,4559,7601
8,0.8307992725915672,1.941296471990736,2.0533813830285252,5.472972362146614,2.915388638225178,0.742653164373399,0.7379155869468353,2.1187805196988174,2.1216844206598955,4.58488062301769,2.6838401792912685,0.5500463369192723,0.7505834999608423,1.6970681824154943,1.668040096036339,5.768947161288432,2.134273751447108,0.5992365811100437,0.5700738069158908,0.7781329899898094,0.7737872526263206,4.2299193453986135,1.1108662011942434,0.449140171610826,4571,7626
9,0.7764202214757174,1.500272089289553,1.3409533118206338,4.723949605382258,2.5679056805497034,0.3533360426732178,0.7439468698433194,1.6757692564199158,1.6141732893997403,6.34109749579203,2.360700489428537,0.8768683177083232,0.6196463126088249,0.9507445012630392,0.8443731886734407,4.1444593395407905,1.553105079412202,0.42488319396526597,0.5888435209224259,0.5672315331593595,0.5654281614118959,5.673920684850909,1.3313284571380246,0.6405454136271869,4565,7616
10,0.6884410548753925,0.6164398976773717,0.610083868250648,5.593549288457129,1.8027163555403671,0.579818495252942,0.5070159761153825,0.7990640089074502,0.8004860289869994,5.573463084305901,1.5504211246034159,0.6296213177367604,0.4067820656494886,0.47922010839614704,0.48641101489687927,5.677385691164672,0.9776238573247997,0.6269443879133368,0.6339599373726843,0.3004319782663024,0.30364961367536286,5.330133176494972,0.6804864550587854,0.5955087109960289,4560,7601
